county_id,last_update,confirmed,new_confirmed,deaths,new_deaths,fatality_rate
36061,2020-03-22T00:00:00Z,10764,10764,98,98,0.009
36119,2020-03-22T00:00:00Z,1873,1873,0,0,0.0
36059,2020-03-22T00:00:00Z,1900,1900,4,4,0.002
36103,2020-03-22T00:00:00Z,1034,1034,12,12,0.012
36087,2020-03-22T00:00:00Z,455,455,1,1,0.002
36071,2020-03-22T00:00:00Z,247,247,0,0,0.0
36001,2020-03-22T00:00:00Z,123,123,0,0,0.0
36027,2020-03-22T00:00:00Z,82,82,1,1,0.012
36029,2020-03-22T00:00:00Z,56,56,0,0,0.0
36055,2020-03-22T00:00:00Z,68,68,1,1,0.015
36079,2020-03-22T00:00:00Z,31,31,0,0,0.0
36067,2020-03-22T00:00:00Z,45,45,0,0,0.0
36091,2020-03-22T00:00:00Z,35,35,0,0,0.0
36093,2020-03-22T00:00:00Z,32,32,0,0,0.0
36111,2020-03-22T00:00:00Z,18,18,0,0,0.0
36083,2020-03-22T00:00:00Z,20,20,0,0,0.0
36105,2020-03-22T00:00:00Z,12,12,0,0,0.0
36109,2020-03-22T00:00:00Z,15,15,0,0,0.0
36021,2020-03-22T00:00:00Z,17,17,0,0,0.0
36065,2020-03-22T00:00:00Z,4,4,0,0,0.0
36063,2020-03-22T00:00:00Z,9,9,0,0,0.0
36007,2020-03-22T00:00:00Z,3,3,1,1,0.333
36101,2020-03-22T00:00:00Z,4,4,0,0,0.0
36069,2020-03-22T00:00:00Z,4,4,0,0,0.0
36019,2020-03-22T00:00:00Z,4,4,0,0,0.0
36117,2020-03-22T00:00:00Z,3,3,0,0,0.0
36043,2020-03-22T00:00:00Z,3,3,0,0,0.0
36039,2020-03-22T00:00:00Z,2,2,0,0,0.0
36121,2020-03-22T00:00:00Z,2,2,0,0,0.0
36053,2020-03-22T00:00:00Z,0,0,0,0,0.0
36025,2020-03-22T00:00:00Z,1,1,0,0,0.0
36057,2020-03-22T00:00:00Z,3,3,0,0,0.0
36031,2020-03-22T00:00:00Z,3,3,0,0,0.0
