VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,1/15/2015 19:05:00,1/15/2015 19:23:00,1,1.59,-73.9939,40.75011,1,N,-73.9748,40.75062,1,12,1,0.5,3.25,0,0.3,17.05
1,1/10/2015 20:33:00,1/10/2015 20:53:00,1,3.3,-74.0016,40.72424,1,N,-73.9944,40.75911,1,14.5,0.5,0.5,2,0,0.3,17.8
1,1/10/2015 20:33:00,1/10/2015 20:43:00,1,1.8,-73.9633,40.80279,1,N,-73.9518,40.82441,2,9.5,0.5,0.5,0,0,0.3,10.8
1,1/10/2015 20:33:00,1/10/2015 20:35:00,1,0.5,-74.0091,40.71382,1,N,-74.0043,40.71999,2,3.5,0.5,0.5,0,0,0.3,4.8
1,1/10/2015 20:33:00,1/10/2015 20:52:00,1,3,-73.9712,40.76243,1,N,-74.0042,40.74265,2,15,0.5,0.5,0,0,0.3,16.3
1,1/10/2015 20:33:00,1/10/2015 20:53:00,1,9,-73.8744,40.77405,1,N,-73.987,40.75819,1,27,0.5,0.5,6.7,5.33,0.3,40.33
1,1/10/2015 20:33:00,1/10/2015 20:58:00,1,2.2,-73.9833,40.72601,1,N,-73.9925,40.74963,2,14,0.5,0.5,0,0,0.3,15.3
1,1/10/2015 20:33:00,1/10/2015 20:42:00,3,0.8,-74.0027,40.73414,1,N,-73.995,40.72633,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/10/2015 20:33:00,1/10/2015 21:11:00,3,18.2,-73.783,40.64436,2,N,-73.9876,40.75936,2,52,0,0.5,0,5.33,0.3,58.13
1,1/10/2015 20:33:00,1/10/2015 20:40:00,2,0.9,-73.9856,40.76795,1,N,-73.9859,40.75937,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,1/10/2015 20:33:00,1/10/2015 20:41:00,1,0.9,-73.9886,40.7231,1,N,-74.0044,40.72858,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/10/2015 20:33:00,1/10/2015 20:43:00,1,1.1,-73.9938,40.75142,1,N,-73.9674,40.75722,1,7.5,0.5,0.5,1,0,0.3,9.8
1,1/10/2015 20:33:00,1/10/2015 20:35:00,1,0.3,-74.0084,40.70438,1,N,-74.0098,40.70773,2,3,0.5,0.5,0,0,0.3,4.3
1,1/10/2015 20:33:00,1/10/2015 21:03:00,1,3.1,-73.9739,40.76045,1,N,-73.9973,40.73521,1,19,0.5,0.5,3,0,0.3,23.3
1,1/10/2015 20:33:00,1/10/2015 20:39:00,1,1.1,-74.0067,40.73178,1,N,-73.9952,40.73989,2,6,0.5,0.5,0,0,0.3,7.3
2,1/15/2015 19:05:00,1/15/2015 19:32:00,1,2.38,-73.9764,40.73981,1,N,-73.984,40.75789,1,16.5,1,0.5,4.38,0,0.3,22.68
2,1/15/2015 19:05:00,1/15/2015 19:21:00,5,2.83,-73.9687,40.75425,1,N,-73.9551,40.78686,2,12.5,1,0.5,0,0,0.3,14.3
2,1/15/2015 19:05:00,1/15/2015 19:28:00,5,8.33,-73.8631,40.76958,1,N,-73.9527,40.78578,1,26,1,0.5,8.08,5.33,0.3,41.21
2,1/15/2015 19:05:00,1/15/2015 19:20:00,1,2.37,-73.9455,40.77942,1,N,-73.9809,40.78608,1,11.5,1,0.5,0,0,0.3,13.3
2,1/15/2015 19:05:00,1/15/2015 19:20:00,2,7.13,-73.8745,40.77401,1,N,-73.9524,40.71859,1,21.5,1,0.5,4.5,0,0.3,27.8
2,1/15/2015 19:05:00,1/15/2015 19:31:00,1,3.6,-73.9766,40.7519,1,N,-73.9989,40.7146,2,17.5,1,0.5,0,0,0.3,19.3
2,1/15/2015 19:05:00,1/15/2015 19:10:00,1,0.89,-73.995,40.74508,1,N,-73.9999,40.73465,1,5.5,1,0.5,1.62,0,0.3,8.92
2,1/15/2015 19:05:00,1/15/2015 19:10:00,1,0.96,-74.0009,40.74706,1,N,-74.0036,40.73551,1,5.5,1,0.5,1.3,0,0.3,8.6
2,1/15/2015 19:05:00,1/15/2015 19:12:00,2,1.25,-74.0028,40.71789,1,N,-74.0079,40.70422,1,6.5,1,0.5,1.5,0,0.3,9.8
2,1/15/2015 19:05:00,1/15/2015 19:22:00,5,2.11,-73.9975,40.73636,1,N,-73.9782,40.76186,1,11.5,1,0.5,2.5,0,0.3,15.8
2,1/15/2015 19:05:00,1/15/2015 19:14:00,5,1.15,-73.9523,40.82399,1,N,-73.9533,40.81109,1,7.5,1,0.5,1.7,0,0.3,11
2,1/15/2015 19:05:00,1/15/2015 19:16:00,1,1.53,-73.9911,40.75008,1,N,-73.9886,40.73489,2,9,1,0.5,0,0,0.3,10.8
2,1/15/2015 19:05:00,1/15/2015 19:49:00,1,18.06,-73.7866,40.64413,2,N,-73.9856,40.74353,1,52,0,0.5,6,5.33,0.3,64.13
2,1/15/2015 19:05:00,1/15/2015 19:18:00,1,1.76,-73.9937,40.74145,1,N,-73.9945,40.75772,1,10,1,0.5,2.36,0,0.3,14.16
